taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
SG8-38	0	0.14	0	0.15	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.07	0.1	0	0.05	0	0.21	0.48	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0
Polyangiaceae	0.07	0.11	0.25	0.07	0	0.5	0.68	0.36	0.09	0	0.19	1.13	0.3	0.79	0.79	0.37	0.05	0.18	0.07	0	0.21	0.09	0.04	0.04	0.04	0	0.02	0.1	0	0	0.05	0.03	0.03	0.94	0	0	0.14	0.03	0.07	0	0.05	0.2	0.6	0.17	0.32	0.38	0.17	0.2	0.23	0.2	0.6	0.58	0.72	1.47	2.25	0.35	0.23	1.08	0.55	0	1.42	0.22	0.84	0.16	0	0.43	0	0.03	1.17	1.19	0.45	0.77	1.78	1.29	0.74	0.67	0.43	0.81	1.45	1.29	0.15
Haliangiaceae	0	0.1	0	0.06	0	0.16	0.38	0.12	0.1	0.05	0.05	0.54	0.15	0.47	0.93	0.27	0.09	0.43	0.04	0	0.05	0.09	0.04	0.03	0.04	0	0.04	0.07	0.03	0	0.07	0.03	0.08	1.1	0	0	0	0	0.1	0.09	0.09	0	0.31	0.11	0.57	0.54	0.19	0.06	0.24	0.81	0.6	0.04	0.5	0.7	0	0.27	0.26	0.52	0.34	0	0.21	0.09	0.26	0.05	0	0.37	0	0.02	0.41	0.43	0.06	0.07	0.35	0.58	0.08	0.24	0.12	0.47	0.82	0.69	0.25
Bradymonadaceae	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0.01	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansiaceae	0.24	0.26	0.15	0.09	0.08	0.1	0.19	0.32	0.01	0	0.06	0.48	4.98	1.35	0.16	1.18	0	0.3	0	0	0.06	0.03	0.38	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0.05	0	0	0	0	0	0.1	2.2	0	0	0	0.37	0.52	0.18	0.02	0.56	0	0.18	2.66	0.41	0.2	0	0.24	0.73	0	0.3	0.11	0.49	0.12	0	0.01	0.05	0	0.07	0.12	0.04	0.14	0.42	0.03	0.08	0.05	0.03	0.25
CANJXF01	0	0.12	0	0	0	0.08	0.09	0	0.01	0	0	0	0	0.03	0.04	0	0.07	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0.04	0.04	0	0	0	0.15	0.26	0.07	0	0	0.05	0.12	0	0.1	0.09	0	0	0	0.09	0.39	0	0	0.02	0	0	0	0.2	0	0	0	0.04	0	0.05	0	0.04	0	0.06	0.1	0.13	0.02	0.1	0
Opitutaceae	0.02	0.17	0.22	0	0	0	0	0	0.01	0	0	0.38	0.1	0.39	0.26	0.38	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0.05	0	0.3	0	0.05	0.42	0	0	0.04	0	0	0	0.13	0.53	0	0.03	0.66	0.51	0	0	0	0.24	0.62	0.19	0.16	1.93	0.75	0.23	0.03	0.36	0.05	0	0.68	0.13	0.28	0.03	0	0.47	0	0	0	0.9	0.22	1.57	1.73	1.6	0.05	1.04	0.05	0.82	0.95	1.86	0.38
T3Sed10-336	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrimicrobiaceae	0	0.09	0	0	0	0	0	0	0	0	0	0.09	0.04	0	0	0.13	0	0.08	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.24	0	0.08	0	0.02	0	0	0.11	0	0	0	0	0	0	0	0.01	0	0	0.05	0.06	0.05	0.09	0	0	0.08	0.04	0.06	0.02
Abditibacteriaceae	0.26	0.51	0.1	0	0	0.23	0.35	0.15	0.2	0.33	0.22	0.06	0.75	0.51	0.54	0	0.41	4.94	0.97	0.1	1.72	0.36	0.34	0.37	0.22	0.25	0.4	0.37	0.31	0.4	0.26	0.23	0.26	0.18	0.07	0.07	0.34	0.18	0.32	0.22	0.71	0	0.36	0.07	0.21	0.61	0.35	0.63	0.62	0.71	0.34	0.62	0.15	0.71	0	0.51	0.07	0.42	0.86	0	0	0	0	0.02	0	0.17	0.23	1.66	1.08	0	0.5	0.06	0.23	0.13	0.87	0.05	0.1	0.14	0.14	0.12	0.66
