taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
Halomonadaceae	0	0	0	0.05	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halieaceae	0	0	0	0.63	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.58	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0
Alcanivoracaceae	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sedimenticolaceae	0	0	0	0.32	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HK1	0	0	0	0.11	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA6429	0	0	0	0.41	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SZUA-229	0	0	0	0.14	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiotrichaceae	0	0	0	0.11	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woeseiaceae	0	0	0	1.14	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97	5.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA4486	0	0	0	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA-001735895	0	0	0	0.37	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSM-19610	0	0	0	0.64	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulosicoccaceae	0.07	0	0	0.22	0.15	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0.02	2.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SZUA-152	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA9214	0	0	0	0.15	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SZUA-140	0	0	0	0.07	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JALTON01	0	0	0	0.59	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RI-283	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodothalassiaceae	0	0	0	1.74	2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelagibacteraceae	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maricaulaceae	0	0	0	0.08	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminicoccaceae	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.06	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.5	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0
Mariprofundaceae	0	0	0	0.39	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPBQ01	0	0	0	0.29	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA6930	0	0	0	0.18	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA4427	0	0	0	0.11	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JALSIO01	0	0	0	0.11	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRLW01	0	0	0	0.05	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinithermaceae	0	0	0	0.22	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA583	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA8592	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRMV01	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermonemataceae	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S139-126	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S141-80	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA-2746155	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudohongiellaceae	0	0	0	0	0.09	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.66	0.11	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0
Porticoccaceae	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.04	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0
Beggiatoaceae	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0
CAITLU01	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.06	0
J088	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrososphaeraceae	0	0	0	0	0	0.23	0	0	0.38	0.35	0.68	0	0	0.37	0.24	0	0	0	0	0	0	0.11	0	0.04	0.15	0.06	0.07	0	0	0	0.04	0	0	0	0	0	0	0.02	0.09	0.04	0.05	0	0.15	0.94	0	0	0.05	0	0	0.09	0	0	0.52	0	0.31	0	0	0	0.07	0	0.2	0	0	0	0	0	0	0	0.31	0	0.74	0	0	0	0	0	0.21	0	0.12	0	0
GCA-2861595	0	0	0	0	0	0.23	0	0	0.05	0.61	0	0	0	0	0.06	0	0	0.05	0.03	0.18	0.07	0.12	0	0.05	0.1	0.1	0.06	0.02	0.05	0.96	0.92	0.19	0.22	0	0.32	0.22	0.78	0.11	0.71	0.98	1.28	0	0	0	0.07	0	2.54	0.23	0	2.22	0.05	0	0.21	0	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
CADCSY01	0.02	0	0	0	0	0.09	0.08	0	0.24	0.19	0.17	0	0.25	0.24	0.2	0	0.31	0.4	0.29	0.34	0.81	0.2	0.02	0.37	0.2	0.42	0.34	0.26	0.34	0.18	0.28	0.21	0.41	0.02	0.71	0.3	0.49	0.28	0.5	0.19	0.25	0	0	0.07	0.31	0.19	0.26	0	0.09	0.34	1.32	0	0.12	0	0	0.05	0	0.02	0.21	0	0.05	0.02	0.03	0	0	0	0	0.45	0.05	0	0	0	0	0	0	0.04	0.03	0	0	0	0
JACCXE01	0	0	0	0	0	0.08	0	0	0.02	0.08	0	0	0	0	0.03	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.37	0.03	0.08	0.38	0	0.06	0.04	0	0.19	0.34	0	0	0	0	0.03	0	0	0	0	0.02	0.02	0	0	0.01	0	0	0	0	0	0	0	0	0	0.25	0.16	0	0	0	0	0	0	0.02	0
JAUJNH01	0	0	0	0	0	0.12	0.11	0.07	0.06	0.67	0.35	0	0	0	0.35	0	0.15	0.86	0.04	0.08	7.44	1.42	0	0.01	0.26	0.04	0.08	0.05	0.08	0.1	0.3	0.06	0.36	0.04	0.11	0.08	0.03	0.03	1.01	0.49	3.29	0	0	0	0.22	2.59	3.25	0.38	0.17	1.61	1.24	0	0.19	0	0	0	0	0.02	0.05	0	0	0.02	0	0	0	0.2	0	0.79	0.11	0	0	0.04	0	0	0	0	0	0	0	0	0
Angustibacteraceae	0	0	0	0	0	0.12	0.21	0.28	0	0	0	0	0	0	0.03	0	0	0.08	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0
S36-B12	0	0	0	0	0	0.12	0	0	0.03	0.04	0	0.17	0	0.05	0	0.02	0	0.04	0	0	0.03	0.03	0	0.01	0.03	0	0	0.03	0	0	0.05	0	0.02	0.04	0	0.02	0	0.03	0.04	0.02	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.01	0.06	0	0	0.1	0	0	0	0.03	0	0	0	0	0
Jiangellaceae	0	0	0	0	0	0.1	0	0	0.02	0.05	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.02	0.01	0.02	0.04	0.02	0	0.02	0	0	0	0.03	0	0	0	0.02	0.05	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
Streptosporangiaceae	0.03	0	0	0	0	0.26	0.3	0.23	0.13	0.08	0.15	0.02	0.09	0.22	0.17	0	0.11	0.22	0.17	0.18	0.13	0.21	0	0.08	0.1	0.08	0.12	0.17	0.1	0.1	0.07	0.07	0.05	0.1	0.13	0.08	0.04	0.07	0.14	0.12	0.17	0	0	0.07	0.1	0.07	0	0.13	0.13	0	0	0.47	0.06	0	6.34	0.09	0	0.12	0.14	0.88	0.01	0.02	0.42	0	0	0	0	0.16	0.19	0	1.17	0.08	0.07	0.05	0.32	0.05	0.06	0	0.36	0.02	0.03
JAHEKZ01	0	0	0	0	0	0.32	0	0	0	0	0.05	0.18	0	0.04	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0.03	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0
JALYLC01	0.03	0	0	0	0	0.08	0.19	0.12	0	0	0.06	0	0	0.07	0.18	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.14	0.03	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0.05	0.02
WHSQ01	0	0	0	0	0	0.08	0	0	1.18	2.85	0.15	0	0	0	0.31	0	0.23	0.05	0	2.26	0	0.19	0	1.91	2.94	1.4	2.03	0.47	2.42	5.91	2.79	2.11	3.83	0	0.68	2.33	1.29	1.99	1.45	3.63	1.14	0	0	0.68	1.43	0	0.4	0.98	0.21	0	0	0	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0.44	0	0	0	0.03	0
Villigracilaceae	0	0	0	0	0	0.23	0	0	0	0	0	0.11	0	0.08	0.48	0.2	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0.2	0	0	0	0	0	0	0	0	0	0.18	0.92	0	0	0	0	0.24	0	0	1.74	0	0	0	0	0.02	0	0	0.11	0	0.17	0.14	0.07	2.91	0	0	0	0.43	0	0	0.15	0	0	0.29	0.13	0.09	0.03	0.4	0
JACRMK01	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.12	0.04	0.04	0.02	0
UBA10324	0	0	0	0	0	0.15	0.16	0.08	0.04	0.06	0.07	0	0	0.13	0.12	0	0	0.15	0	0	0	0	0	0.01	0.07	0	0.04	0	0.02	0	0.08	0.03	0.06	0.3	0	0	0	0	0.08	0.05	0	0	0	0.04	0.08	0	0.05	0.08	0.04	0	0	0	0.26	0.05	0.01	0.08	0	0.13	0.28	0	0	0	0.14	0	0	0.18	0	0	0.12	0.07	0	0	0.06	0.15	0	0.05	0.03	0.02	0.15	0.04	0
OLB10	0	0	0	0	0	0.08	0.13	0.08	0.01	0	0	0	0.05	0.66	0.08	0.05	0	0.08	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.03	0.31	0	0	0.05	0	0	0	0	0	0	0.04	0.05	0.11	0.04	0	0	0	0.11	0	0.16	0.1	0	0	0	0.12	0.1	0	0.03	0.04	0.07	0	0	0.46	0	0	0.07	0.08	0	0.15	0.13	0.11	0	0.19	0	0.03	0.02	0.14	0.2
B-1AR	0	0	0	0	0	0.24	0.15	0	0.09	0.11	1.79	0	0	0.48	0.37	0.08	0	0	0	0	0	0	0	0.01	0.09	0	0	0	0	0	0	0.02	0.09	0.23	0	0	0	0	0.03	0.08	0	0	0	0.16	0.32	0	0.22	0	0	0.25	0	0	0.34	0.33	0	1.04	0	0.16	0.05	0	0.28	0.01	0.07	0	0	1.92	0	0	0.04	0.16	0	0.03	0.4	1.04	0	0.32	0.14	0.09	0.12	0.53	0
UBA1018	0.02	0	0	0	0	0.07	0.09	0.14	0.01	0	0.11	0.48	0.08	0.04	0.04	0	0	0.04	0	0	0.02	0.05	0.02	0	0.02	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.04	0	0	0	0	0	0.16	0	0	0	0	0	0.13	0.05	0	0.04	0.15	0.05	0.02	0.22	0.16	0	0.02	0.04	0.07	0	0	0	0	0.05	0	0.14	0.27	0.14	0.11	0.14	0.06	0.1	0.11	0.16	0.16	0.21	0.09
Beijerinckiaceae	0	0	0	0	0	0.07	0.06	0	0.21	0.12	0.22	0.03	0.09	0.31	0.37	0.04	0.1	0.39	0.23	0.21	0.34	0.23	0	0.13	0.16	0.11	0.15	0.21	0.1	0.2	0.06	0.16	0.13	0.06	0	0.09	0	0.06	0.2	0.08	0.13	0	0.17	0.49	0.09	0	0.07	0.42	0.22	0.06	0	1.74	0.12	0.24	2.14	0.03	0	0.18	0.05	0.03	0.13	0.08	0.49	0	0	0	0	0.13	0.34	0.07	1.64	0.1	0.28	0.34	0	0.1	0.17	0.08	0.83	0.19	0.05
Gallionellaceae	0.04	0	0	0	0	0.06	0.16	0.55	0.01	0	0	0.9	0.05	0	0	0.04	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.03	0.05	0.07	0	0	0.03	0.02	0.03	0	0	0	0	0	0.06	0	0.17	0	0.39	0	0.06	0	0.64	0	0.03	0.05
JALYOK01	0	0	0	0	0	0.13	0	0	0.02	0	0.43	0	0	0.14	0.13	0	0	0	0	0	0	0.06	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0.01	0	0	0	0	0.04	0	0	0.18	0	0	0	0	0.11	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0
Deinococcaceae	0.11	0	0	0	0	0.11	0.07	0.21	0	0	0	0.08	0.1	0	0.04	0	0	0.21	0	0	0.08	0	0.06	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.13	0.15	0.23	0.37	0	0	0.11	0	0	0.06	0	0.09	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0
RAAP-2	0	0	0	0	0	0	0.11	0	0.06	0.06	0.08	0	0	0	0.03	0	0	0.05	0.03	0.05	0.15	0.14	0	0.05	0.07	0.03	0.06	0.07	0.03	0.09	0.03	0.07	0.05	0.02	0.04	0.04	0.08	0.03	0.22	0.08	0.12	0	0	0.07	0.07	0	0.05	0.09	0.07	0	0	3.75	0.03	0	1.14	0.02	0	0.06	0.04	0.56	0.02	0.02	0	0	0	0	0	0.05	0.03	0	0.79	0.04	0	0.04	0.67	0.04	0.04	0.03	0.14	0.02	0.97
Spirosomataceae	0	0	0	0	0	0	0.14	0.27	0.03	0	0.2	0.2	0.43	0.15	0.27	0.48	0	0.57	0	0	0.21	0.04	0.11	0.11	0	0	0.03	0.19	0	0	0	0	0	0.17	0	0	0	0	0	0	0.02	0.2	0	0	0.04	0.12	0	0	0.1	0.46	0	0	0.02	0.59	0	0.67	4.06	0.34	0.37	0	0.1	0.08	0	0.04	0.7	0	0.43	0.05	0.35	0	0.08	0.39	0.1	0	0.06	0.15	0	0	0	0	0
Myxococcaceae	0	0	0	0	0	0	0.07	0	0.04	0	0	0.13	0	0.11	0.07	0.04	0	0.11	0	0	0	0.06	0.05	0	0.05	0.02	0.02	0	0	0	0	0.02	0.02	0.22	0	0	0	0	0.04	0.02	0	0	0	0.04	0.1	0	0	0	0.13	0	0.18	0	0.13	0.19	0.54	0	0.01	0.2	0.14	0.11	0.05	0.28	0.16	0	0	0.2	0	0	0.02	0.19	0.04	0.28	0.19	0.22	0.05	0.07	0.12	0.08	0.03	0.15	0.12
JACDBH01	0.04	0	0	0	0	0	0.07	0.15	0	0	0	0.02	0	0.03	0.07	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.04	0	0	0	0	0.32	0.04	0	0.04	0	0	0	0	0.13	0	0	0	0	0	0.25	0.08	0	0	0.08	0.04	0.04	0	0.03	0.05
