unifrac.S3.10.ribosomal_protein_S19_rpsS.unifrac	Richness R	Shannon H	Simpson λ	Simpson dominance 1/λ	Gini 1-λ	Pielou J	Hmax	Efficiency η	
CS1_filtp_woHU_1	159	4.61891445813799	0.0175871959497392	56.8595473012188	0.982412804050261	0.911225439240864	5.06890420222023	0.911225439240865	
ERR4182668_filtp_woHU_1	399	4.9003236639242	0.0191762691471146	52.1477870553598	0.980823730852885	0.818225953185217	5.98896141688986	0.818225953185218	
ERR4182669_filtp_woHU_1	482	5.623969558977	0.00768723620880371	130.085764615215	0.992312763791196	0.910330274141896	6.1779441140506	0.910330274141898	
ERR4182670_filtp_woHU_1	578	5.45103349548516	0.0113589205713819	88.0365342565596	0.988641079428618	0.857138168067716	6.35957386867238	0.857138168067705	
ERR4182673_filtp_woHU_1	719	6.45686606664307	0.00189215093352009	528.499065420557	0.99810784906648	0.981605679338931	6.57786135772105	0.98160567933894	
ERR4183043_filtp_woHU_1	734	6.27169011126528	0.00324018340558875	308.624505105228	0.996759816594411	0.950470793336497	6.59850902861452	0.950470793336482	
ERR4183044_filtp_woHU_1	707	6.31286428659869	0.00269204832415059	371.464357095271	0.997307951675849	0.962175701968927	6.56103066589657	0.962175701968943	
ERR4183116_filtp_woHU_1	532	5.52778794645271	0.00913526486926978	109.465901023178	0.99086473513073	0.880691719362336	6.27664348934164	0.880691719362333	
ERR4183117_filtp_woHU_1	438	5.31626260159378	0.0125981014117847	79.3770400248221	0.987401898588215	0.874066303750443	6.08221891037645	0.874066303750445	
ERR4183124_filtp_woHU_1	518	5.39239889909467	0.0141592613238302	70.6251531862747	0.98584073867617	0.86278724156117	6.24997524225948	0.862787241561181	
ERR4183125_filtp_woHU_1	354	5.16981464901943	0.0117821895663791	84.8738678295871	0.988217810433621	0.88082349990693	5.86929691313377	0.880823499906928	
ERR5891181_filtp_woHU_1	209	5.2744736217072	0.00572916666666667	174.545454545454	0.994270833333333	0.987297569366302	5.34233425196481	0.987297569366299	
ERR5891183_filtp_woHU_1	154	4.44571115712942	0.0255056513979774	39.2069970845481	0.974494348602023	0.882619216031356	5.03695260241363	0.882619216031357	
ERR5891186_filtp_woHU_1	140	4.22061387509502	0.0296109129343375	33.771332961517	0.970389087065663	0.854091315022028	4.9416424226093	0.854091315022029	
ERR5891188_filtp_woHU_1	226	5.37201423039417	0.00499807766243751	200.076923076924	0.995001922337562	0.991048712187149	5.42053499927229	0.991048712187145	
ERR5891191_filtp_woHU_1	244	5.43778565482139	0.00473616345963102	211.141361256545	0.995263836540369	0.98919760719736	5.4971682252932	0.989197607197366	
ERR5891194_filtp_woHU_1	294	5.33464670402321	0.00818438052555102	122.183957219251	0.991815619474449	0.938606815141285	5.68357976733868	0.938606815141293	
HTP3_filtp_woHU_1	173	5.06763936202942	0.0073513031855647	136.030303030303	0.992648696814435	0.98337912169383	5.15329159449778	0.983379121693834	
IA6_filtp_woHU_1	160	4.78740756280978	0.0131333760677389	76.1418842224748	0.986866623932261	0.943299232124764	5.07517381523383	0.943299232124762	
RDP_CKDN230001569-1A_HT3KTDSX5_L3_filtp_woHU_1	422	4.57540791155979	0.0254005146071708	39.3692811136074	0.974599485392829	0.756890635139072	6.04500531403601	0.756890635139071	
RUP_CKDN230001570-1A_HT3KTDSX5_L3_filtp_woHU_1	773	5.96206570313354	0.00618985204491722	161.554750055964	0.993810147955083	0.896513613876087	6.65027904858742	0.896513613876094	
SRR13165308_filtp_woHU_1	1191	6.20062037112401	0.00942407505988806	106.111209179172	0.990575924940112	0.875478693919981	7.0825485693553	0.875478693919978	
SRR17689980_filtp_woHU_1	341	5.46675389578927	0.00673942863958969	148.380530973451	0.99326057136041	0.937390956879446	5.83188247728352	0.937390956879448	
SRR17689983_filtp_woHU_1	280	5.26589314313812	0.0100048305588585	99.9517177344473	0.989995169441142	0.934532345302893	5.63478960316925	0.934532345302896	
SRR17689995_filtp_woHU_1	213	4.73020639710694	0.0187890808339263	53.2224012892829	0.981210919166074	0.882288495180531	5.36129216570943	0.882288495180529	
SRR17689998_filtp_woHU_1	293	5.21662848687813	0.00980029585798812	102.037735849057	0.990199704142012	0.918392599301811	5.68017260901707	0.918392599301811	
SRR17689999_filtp_woHU_1	186	4.67286395422453	0.0180530016224986	55.3924505692032	0.981946998377501	0.894200244671292	5.2257466737132	0.894200244671295	
SRR17690002_filtp_woHU_1	262	5.22695085322048	0.00914440923494791	109.356435643565	0.990855590765052	0.938690278536103	5.5683445037611	0.938690278536104	
SRR20770298_filtp_woHU_1	418	5.87516871564715	0.00348531499652918	286.91811242193	0.996514685003471	0.97343828844975	6.03548143252476	0.973438288449749	
SRR20770299_filtp_woHU_1	365	5.4340277284085	0.00732325962030859	136.551215148352	0.992676740379691	0.921037672817967	5.89989735358249	0.921037672817968	
SRR24605825_filtp_woHU_1	699	5.60479513797686	0.0142995586083691	69.9322284965305	0.985700441391631	0.855739543764634	6.54965074223381	0.855739543764632	
SRR24605827_filtp_woHU_1	1090	6.44557416977673	0.0029720358134801	336.469700487577	0.99702796418652	0.921595072845409	6.99393297522319	0.921595072845403	
SRR24605828_filtp_woHU_1	584	5.84864685584981	0.00624457466907362	160.139009139008	0.993755425330926	0.918169194720044	6.36990098282823	0.918169194720042	
SRR24605834_filtp_woHU_1	258	4.74972879546364	0.0160885998622472	62.1558127221844	0.983911400137753	0.855350867015303	5.55295958492162	0.855350867015302	
SRR24605835_filtp_woHU_1	882	6.39627697491085	0.00287995163290596	347.228053615251	0.997120048367094	0.9430987683762	6.78219205600679	0.943098768376211	
SRR24605838_filtp_woHU_1	829	5.9702980628873	0.00547608795387969	182.612114418564	0.99452391204612	0.88840810644054	6.7202201551353	0.888408106440555	
SRR24605839_filtp_woHU_1	1001	6.58081530251745	0.0021256045105595	470.454402515724	0.99787439548944	0.952532766428529	6.90875477931522	0.952532766428517	
SRR24605841_filtp_woHU_1	939	6.3637782992964	0.00314575406525665	317.888804800261	0.996854245934743	0.929722403566166	6.84481547920826	0.929722403566172	
SRR24605842_filtp_woHU_1	446	5.00655168500233	0.0229918761004203	43.4936233838577	0.97700812389958	0.820703265579983	6.10031895202006	0.820703265579984	
SRR5830676_filtp_woHU_1	380	5.32647847595105	0.00936357254052076	106.796844438649	0.990636427459479	0.896687696253146	5.94017125272043	0.896687696253137	
SRR5881985_filtp_woHU_1	1057	5.66958359346423	0.0187960413527794	53.202692057928	0.981203958647221	0.814222160384679	6.96318998587024	0.814222160384676	
SRR5882128_filtp_woHU_1	360	5.70260389784904	0.00427554091039064	233.888535031848	0.995724459089609	0.968824857219537	5.88610403145016	0.968824857219543	
SRR5882551_filtp_woHU_1	376	5.11605253879256	0.0135720154960218	73.6810240375219	0.986427984503978	0.862800510301083	5.92958914338989	0.862800510301084	
SRR6263181_filtp_woHU_1	264	4.08588969479977	0.0682074969905659	14.6611449491881	0.931792503009434	0.732770263719632	5.57594910314632	0.73277026371963	
SRR6263202_filtp_woHU_1	445	5.23424264174806	0.0129721384107883	77.0882924875629	0.987027861589212	0.85834353593487	6.09807428216624	0.858343535934862	
SRR6263206_filtp_woHU_1	570	4.85588588727999	0.0380614035474981	26.2733348430535	0.961938596452502	0.765232296835541	6.3456363608286	0.765232296835537	
SRR6263248_filtp_woHU_1	468	5.16989219759127	0.0108646222777136	92.0418560755012	0.989135377722286	0.840842295799734	6.14846829591765	0.840842295799732	
SRR6263258_filtp_woHU_1	782	5.09613431678184	0.0368913968721662	27.1065908256372	0.963108603127834	0.764972296043293	6.66185474054531	0.764972296043296	
SRR6263259_filtp_woHU_1	365	4.02731934826168	0.0740863571394125	13.4977617824864	0.925913642860588	0.682608375519659	5.89989735358249	0.682608375519668	
SRR6263322_filtp_woHU_1	473	4.92344767575406	0.0331274400020704	30.1864556976785	0.96687255999793	0.79937837705085	6.15909538849193	0.799378377050848	
SRR6263654_filtp_woHU_1	436	5.10390742293124	0.0210570685495036	47.4899911945993	0.978942931450496	0.839784116697	6.07764224334903	0.839784116696997	
SRR6263655_filtp_woHU_1	342	4.82096531028888	0.0272343097018421	36.7183898159299	0.972765690298158	0.82624193440692	5.8348107370626	0.826241934406919	
SRR6263736_filtp_woHU_1	341	4.74420502970844	0.0293778191000636	34.039286462821	0.970622180899936	0.813494621708887	5.83188247728352	0.813494621708889	
SRR6263737_filtp_woHU_1	343	4.85835359411086	0.0300277869905604	33.3024874698346	0.96997221300944	0.832233286219898	5.83773044716594	0.832233286219894	
SRR6265700_filtp_woHU_1	411	4.95609893768509	0.0328056097293071	30.4825914912547	0.967194390270693	0.823464680375466	6.01859321449623	0.82346468037546	
SRR6265795_filtp_woHU_1	189	3.65684240834815	0.0758790299928216	13.1788716868759	0.924120970007178	0.697638096199982	5.24174701505964	0.697638096199982	
SRR6265865_filtp_woHU_1	283	4.16534903781899	0.0604728793374938	16.53633845379	0.939527120662506	0.737824500582561	5.64544689764324	0.73782450058256	
SRR6265866_filtp_woHU_1	443	5.18100090315072	0.0174153977542921	57.4204513792139	0.982584602245708	0.850240679711187	6.09356977004514	0.85024067971119	
SRR6266047_filtp_woHU_1	252	4.13401195959008	0.0750911433348866	13.3171497408192	0.924908856665113	0.747638118540486	5.52942908751142	0.747638118540489	
SRR6266108_filtp_woHU_1	280	4.43838048517771	0.0429749527410209	23.2693682300544	0.957025047258979	0.787674571324078	5.63478960316925	0.787674571324082	
SRR6266133_filtp_woHU_1	528	5.82586166345905	0.00579534502931515	172.552280311457	0.994204654970685	0.929298482558131	6.26909628370626	0.929298482558126	
SRR6266134_filtp_woHU_1	467	5.4804990575955	0.00866529329249928	115.402902849879	0.991334706707501	0.891670268194203	6.1463292576689	0.891670268194204	
SRR6266221_filtp_woHU_1	294	4.78654615126718	0.0186469882070474	53.627963341665	0.981353011792953	0.842171016719708	5.68357976733868	0.842171016719704	
SRR6266334_filtp_woHU_1	631	6.19955702061619	0.00310312579703575	322.255707762555	0.996896874202964	0.961573276154859	6.44730586254121	0.961573276154871	
SRR6266336_filtp_woHU_1	564	6.10120373851732	0.00361561053755784	276.578461538463	0.996384389462442	0.963086265137281	6.33505425149806	0.963086265137268	
SRR6266338_filtp_woHU_1	384	5.38996564221309	0.00824394567634159	121.301138952164	0.991756054323658	0.905778761634605	5.95064255258773	0.905778761634601	
SRR6266341_filtp_woHU_1	265	4.39301347336165	0.0475083099281097	21.0489491525423	0.95249169007189	0.787316520757379	5.57972982598622	0.78731652075738	
SRR6266357_filtp_woHU_1	331	4.80627182037652	0.0237277243252955	42.1447917335219	0.976272275674705	0.828365005576808	5.80211837537706	0.828365005576814	
SRR6266358_filtp_woHU_1	582	5.88664686134882	0.00723862504255066	138.147782779426	0.992761374957449	0.924632715988874	6.36647044773144	0.924632715988886	
SRR6429832_filtp_woHU_1	173	5.04290842336006	0.00822635831978449	121.560471976402	0.991773641680216	0.978580064971371	5.15329159449778	0.978580064971371	
SRR6429834_filtp_woHU_1	190	5.10897362388445	0.00836422208853269	119.556844547564	0.991635777911467	0.973689762734557	5.24702407216049	0.973689762734552	
shotgun_illumina_1st_ARH_ECA53_filtp_woHU_1	364	5.82886743504513	0.00326333166967403	306.435294117649	0.996736668330326	0.988420442449981	5.89715386763674	0.988420442449972	
shotgun_illumina_1st_COP_ECA53_filtp_woHU_1	314	5.39179613741647	0.00786590576171875	127.130940834142	0.992134094238281	0.937802677714281	5.74939298590825	0.937802677714276	
shotgun_illumina_1st_DEH_ECA53_filtp_woHU_1	370	5.62403511490518	0.00582666677451792	171.624710782047	0.994173333225482	0.951049675554896	5.91350300563827	0.951049675554885	
shotgun_illumina_1st_DEP_ECA53_filtp_woHU_1	359	5.7846960605232	0.00371011357490533	269.533527696794	0.996289886425095	0.983236287007141	5.88332238848828	0.983236287007143	
shotgun_illumina_2nd_BARR2_ECA53_filtp_woHU_1	332	5.71787370995624	0.00382653061224487	261.333333333335	0.996173469387755	0.984968263541247	5.80513496891649	0.984968263541246	
shotgun_illumina_2nd_PRH_ECA55_filtp_woHU_1	479	6.09082091268509	0.00255610054996712	391.220916568742	0.997443899450033	0.986895073173227	6.17170059741091	0.986895073173211	
shotgun_illumina_2nd_PRP_ECA55_filtp_woHU_1	377	5.40600088285762	0.0163140492514909	61.2968604289711	0.983685950748509	0.911290870831862	5.93224518744801	0.911290870831852	
shotgun_illumina_3rd_ARH_ECA55_filtp_woHU_1	819	6.26749403745394	0.00408828124999997	244.60156697879	0.99591171875	0.934319540290249	6.70808408385307	0.934319540290238	
shotgun_illumina_3rd_COP_ECA55_filtp_woHU_1	969	6.59588429956982	0.00208302860446806	480.070219801598	0.997916971395532	0.959224909431772	6.87626461189077	0.959224909431795	
shotgun_illumina_3rd_DEP_ECA55_filtp_woHU_1	1076	6.76517864220906	0.00179509663693404	557.073073073083	0.998204903363066	0.969083666948774	6.98100574072173	0.96908366694877	
unifrac.S3.11.pheS.unifrac	Richness R	Shannon H	Simpson λ	Simpson dominance 1/λ	Gini 1-λ	Pielou J	Hmax	Efficiency η	
CS1_filtp_woHU_1	172	4.70892061345863	0.0159366598608661	62.7484057971014	0.984063340139134	0.914798575242704	5.14749447681345	0.914798575242701	
ERR4182668_filtp_woHU_1	433	5.09920011073075	0.0147028818469689	68.0138771710361	0.985297118153031	0.839963829636334	6.07073772800249	0.83996382963634	
ERR4182669_filtp_woHU_1	543	5.76175979986922	0.00780623998977319	128.102646256082	0.992193760010227	0.91498487752626	6.29710931993394	0.914984877526259	
ERR4182670_filtp_woHU_1	738	5.81717596326835	0.0085861342165681	116.46684931507	0.991413865783432	0.880863937939429	6.60394382460047	0.880863937939438	
ERR4182673_filtp_woHU_1	796	6.5899731911697	0.00166675073020649	599.969738651991	0.998333249269793	0.986582129828295	6.67959918584438	0.986582129828311	
ERR4183043_filtp_woHU_1	763	6.37120403578022	0.00263861964198667	378.986036519867	0.997361380358013	0.959915074229418	6.63725803128446	0.959915074229414	
ERR4183044_filtp_woHU_1	696	6.31009269876448	0.00271111406827358	368.852056688561	0.997288885931726	0.964057388256028	6.54534966033442	0.964057388256039	
ERR4183116_filtp_woHU_1	761	6.00487604510923	0.00637742479113624	156.803103564603	0.993622575208864	0.905080314346801	6.63463335786169	0.905080314346802	
ERR4183117_filtp_woHU_1	506	5.6851106578879	0.00679768948999715	147.108808290156	0.993202310510003	0.913045399046606	6.22653666928747	0.913045399046612	
ERR4183124_filtp_woHU_1	592	5.77891892537874	0.00633304306003152	157.901973904315	0.993666956939968	0.905289092017017	6.38350663488401	0.905289092017025	
ERR4183125_filtp_woHU_1	465	5.45302859084424	0.0108592981729724	92.0869824247844	0.989140701827028	0.887820804523865	6.14203740558736	0.887820804523852	
ERR5891181_filtp_woHU_1	172	5.08860711315482	0.00681130834976991	146.814671814671	0.99318869165023	0.988559994785057	5.14749447681345	0.988559994785054	
ERR5891183_filtp_woHU_1	108	4.19572658029002	0.0297496570644719	33.613832853026	0.970250342935528	0.896114691528424	4.68213122712422	0.896114691528422	
ERR5891186_filtp_woHU_1	117	4.22589645665049	0.0271073430808225	36.890373099954	0.972892656919177	0.887388095124241	4.76217393479776	0.88738809512424	
ERR5891188_filtp_woHU_1	198	5.24072770631954	0.00570247933884296	175.36231884058	0.994297520661157	0.991010415302581	5.28826703069454	0.991010415302579	
ERR5891191_filtp_woHU_1	156	5.02182838132467	0.0068735827664399	145.484536082474	0.99312641723356	0.9944498168097	5.04985600724954	0.994449816809697	
ERR5891194_filtp_woHU_1	257	5.35389324746421	0.00663010302160082	150.827218934911	0.993369896978399	0.964826065736906	5.54907608489522	0.964826065736903	
HTP3_filtp_woHU_1	150	4.94367673123415	0.00802768166089965	124.568965517241	0.9919723183391	0.986636711927327	5.01063529409626	0.986636711927331	
IA6_filtp_woHU_1	229	5.30539178246243	0.00614872685185186	162.635294117647	0.993851273148148	0.976382630357631	5.43372200355424	0.976382630357631	
RDP_CKDN230001569-1A_HT3KTDSX5_L3_filtp_woHU_1	434	4.92521238755643	0.0182168099841549	54.8943531205411	0.981783190015845	0.810995598649269	6.07304453410041	0.810995598649265	
RUP_CKDN230001570-1A_HT3KTDSX5_L3_filtp_woHU_1	627	5.7959985802489	0.00730129919552726	136.961925983337	0.992698700804473	0.899867518490435	6.44094654063292	0.89986751849044	
SRR13165308_filtp_woHU_1	1247	6.40825923625898	0.00533997602642461	187.266758324672	0.994660023973575	0.898963720410401	7.12849594568004	0.898963720410397	
SRR17689980_filtp_woHU_1	346	5.60526892163941	0.00501582663744826	199.368932038835	0.994984173362552	0.958749272386603	5.84643877505772	0.9587492723866	
SRR17689983_filtp_woHU_1	288	5.31671934514669	0.00943100812319255	106.033203125	0.990568991876807	0.938858634771729	5.66296048013595	0.938858634771727	
SRR17689995_filtp_woHU_1	192	4.68699182058441	0.0194289724134906	51.469525959368	0.980571027586509	0.891487578956568	5.25749537202778	0.891487578956568	
SRR17689998_filtp_woHU_1	293	5.16273300722721	0.0122854826359173	81.3968835930341	0.987714517364083	0.9089042468589	5.68017260901707	0.908904246858895	
SRR17689999_filtp_woHU_1	224	4.87081445792908	0.0158162609247515	63.2260687122999	0.984183739075249	0.900061536038453	5.41164605185504	0.900061536038456	
SRR17690002_filtp_woHU_1	271	5.31843108593267	0.0079834801202882	125.258657243816	0.992016519879712	0.94936063585626	5.6021188208797	0.949360635856257	
SRR20770298_filtp_woHU_1	408	5.886012964548	0.00320532828152605	311.980524978834	0.996794671718474	0.9791634265751	6.01126717440416	0.979163426575106	
SRR20770299_filtp_woHU_1	382	5.49594646121028	0.00730206557909256	136.947551233068	0.992697934420907	0.924399941234496	5.94542060860658	0.924399941234497	
SRR24605825_filtp_woHU_1	704	6.05169218212483	0.0043261173309129	231.154155911203	0.995673882669087	0.9229673253239	6.55677835615804	0.922967325323911	
SRR24605827_filtp_woHU_1	1143	6.57159113854153	0.00250909375209059	398.550273048504	0.997490906247909	0.933277509157861	7.04141166379481	0.933277509157863	
SRR24605828_filtp_woHU_1	587	6.0723120555068	0.00321201085770589	311.331450701954	0.996787989142294	0.952515829682768	6.3750248198281	0.952515829682763	
SRR24605834_filtp_woHU_1	229	4.56552309561836	0.0217073111724005	46.0674282529952	0.9782926888276	0.840220219700605	5.43372200355424	0.840220219700603	
SRR24605835_filtp_woHU_1	1014	6.57950148813916	0.00211776316491457	472.196332700092	0.997882236835085	0.950567235926874	6.92165818415113	0.950567235926891	
SRR24605838_filtp_woHU_1	882	6.07161309740654	0.00537739331867085	185.963707829944	0.994622606681329	0.895228717687091	6.78219205600679	0.895228717687086	
SRR24605839_filtp_woHU_1	1050	6.67238755192891	0.00190138684706435	525.93190151912	0.998098613152936	0.959152442322878	6.95654544315157	0.95915244232289	
SRR24605841_filtp_woHU_1	1016	6.47526146984343	0.0026069395655246	383.591554336155	0.997393060434475	0.935241015603758	6.92362862813843	0.935241015603738	
SRR24605842_filtp_woHU_1	439	5.36159352782476	0.00942132068206422	106.142231407508	0.990578679317936	0.881188930070905	6.08449941307517	0.881188930070906	
SRR5830676_filtp_woHU_1	449	5.57702480009289	0.00786207766500421	127.192841715519	0.992137922334996	0.913214982587808	6.10702288774225	0.913214982587813	
SRR5881985_filtp_woHU_1	1107	5.85258038938254	0.0171301073222242	58.3767504306658	0.982869892677776	0.834960614449547	7.00940893270864	0.83496061444956	
SRR5882128_filtp_woHU_1	332	5.66012648907345	0.00424952969631819	235.320158102767	0.995750470303682	0.975020653159749	5.80513496891649	0.975020653159743	
SRR5882551_filtp_woHU_1	441	5.2733631305675	0.0144843976824552	69.0398055841347	0.985515602317545	0.866041101426521	6.08904487544685	0.866041101426517	
SRR6263181_filtp_woHU_1	297	3.9817690291936	0.116991448830467	8.5476332671895	0.883008551169533	0.699324965088874	5.6937321388027	0.699324965088869	
SRR6263202_filtp_woHU_1	560	5.60805567999862	0.00799644107863137	125.055632895522	0.992003558921369	0.886237627154939	6.32793678372919	0.886237627154945	
SRR6263206_filtp_woHU_1	599	4.72950017056788	0.0786620129366163	12.712616454473	0.921337987063384	0.739531932823759	6.39526159811545	0.739531932823757	
SRR6263248_filtp_woHU_1	542	5.41336290966392	0.00872093899585864	114.666551443013	0.991279061004141	0.859910114747487	6.29526600143965	0.85991011474749	
SRR6263258_filtp_woHU_1	800	5.18050223135955	0.048664947322951	20.5486711690817	0.951335052677049	0.774989250298144	6.68461172766793	0.774989250298152	
SRR6263259_filtp_woHU_1	380	4.05924944218398	0.0996934564236429	10.0307486155415	0.900306543576357	0.683355625534358	5.94017125272043	0.683355625534361	
SRR6263322_filtp_woHU_1	469	4.78933816891669	0.054010179031665	18.5150284248034	0.945989820968335	0.778677854711553	6.15060276844628	0.778677854711553	
SRR6263654_filtp_woHU_1	437	5.14870148659313	0.0192941574469125	51.8291613796291	0.980705842553088	0.846835207127992	6.07993319509559	0.846835207127982	
SRR6263655_filtp_woHU_1	350	4.6029737703215	0.0609129184494738	16.4168788075633	0.939087081550526	0.785767547859187	5.85793315448346	0.78576754785919	
SRR6263736_filtp_woHU_1	355	4.78273490107446	0.0362549477335073	27.5824421910775	0.963745052266493	0.814482112338848	5.87211778947542	0.814482112338851	
SRR6263737_filtp_woHU_1	373	5.00674935960516	0.0210470565382607	47.5125820174491	0.978952943461739	0.845509255268178	5.92157841964382	0.845509255268181	
SRR6265700_filtp_woHU_1	408	4.99501434966411	0.0243241346349877	41.1114317120086	0.975675865365012	0.830941996877592	6.01126717440416	0.830941996877594	
SRR6265795_filtp_woHU_1	241	3.63841172460286	0.134821847933134	7.41719547187899	0.865178152066866	0.663363068628192	5.48479693349065	0.663363068628194	
SRR6265865_filtp_woHU_1	293	4.33416628860979	0.0663672577345154	15.0676709289426	0.933632742265485	0.763034257397294	5.68017260901707	0.763034257397289	
SRR6265866_filtp_woHU_1	453	5.20933611673983	0.0215325131241559	46.4413974455294	0.978467486875844	0.85177043836894	6.11589212548303	0.851770438368932	
